X,CH1,
Second,Volt,
-7.6189991e-03,-1.50000e+00,
-7.6179989e-03,-1.50000e+00,
-7.6169991e-03,-1.50000e+00,
-7.6159989e-03,-1.48000e+00,
-7.6149991e-03,-1.48000e+00,
-7.6139988e-03,-1.48000e+00,
-7.6129991e-03,-1.48000e+00,
-7.6119988e-03,-1.50000e+00,
-7.6109990e-03,-1.48000e+00,
-7.6099993e-03,-1.50000e+00,
-7.6089990e-03,-1.50000e+00,
-7.6079993e-03,-1.48000e+00,
-7.6069990e-03,-1.48000e+00,
-7.6059992e-03,-1.50000e+00,
-7.6049990e-03,-1.48000e+00,
-7.6039992e-03,-1.48000e+00,
-7.6029990e-03,-1.50000e+00,
-7.6019992e-03,-1.48000e+00,
-7.6009990e-03,-1.50000e+00,
-7.5999992e-03,-1.48000e+00,
-7.5989990e-03,-1.48000e+00,
-7.5979992e-03,-1.50000e+00,
-7.5969989e-03,-1.50000e+00,
-7.5959992e-03,-1.48000e+00,
-7.5949989e-03,-1.50000e+00,
-7.5939992e-03,-1.48000e+00,
-7.5929989e-03,-1.48000e+00,
-7.5919991e-03,-1.48000e+00,
-7.5909989e-03,-1.48000e+00,
-7.5899991e-03,-1.50000e+00,
-7.5889989e-03,-1.48000e+00,
-7.5879991e-03,-1.48000e+00,
-7.5869989e-03,-1.50000e+00,
-7.5859991e-03,-1.50000e+00,
-7.5849988e-03,-1.48000e+00,
-7.5839991e-03,-1.48000e+00,
-7.5829988e-03,-1.48000e+00,
-7.5819991e-03,-1.48000e+00,
-7.5809988e-03,-1.48000e+00,
-7.5799990e-03,-1.50000e+00,
-7.5789993e-03,-1.50000e+00,
-7.5779990e-03,-1.48000e+00,
-7.5769993e-03,-1.48000e+00,
-7.5759990e-03,-1.48000e+00,
-7.5749992e-03,-1.48000e+00,
-7.5739990e-03,-1.50000e+00,
-7.5729992e-03,-1.48000e+00,
-7.5719990e-03,-1.48000e+00,
-7.5709992e-03,-1.48000e+00,
-7.5699990e-03,-1.50000e+00,
-7.5689992e-03,-1.48000e+00,
-7.5679990e-03,-1.48000e+00,
-7.5669992e-03,-1.48000e+00,
-7.5659989e-03,-1.50000e+00,
-7.5649992e-03,-1.50000e+00,
-7.5639989e-03,-1.48000e+00,
-7.5629991e-03,-1.48000e+00,
-7.5619989e-03,-1.50000e+00,
-7.5609991e-03,-1.50000e+00,
-7.5599989e-03,-1.50000e+00,
-7.5589991e-03,-1.50000e+00,
-7.5579989e-03,-1.48000e+00,
-7.5569991e-03,-1.48000e+00,
-7.5559989e-03,-1.48000e+00,
-7.5549991e-03,-1.48000e+00,
-7.5539988e-03,-1.50000e+00,
-7.5529991e-03,-1.48000e+00,
-7.5519988e-03,-1.50000e+00,
-7.5509991e-03,-1.48000e+00,
-7.5499993e-03,-1.50000e+00,
-7.5489990e-03,-1.50000e+00,
-7.5479993e-03,-1.48000e+00,
-7.5469990e-03,-1.48000e+00,
-7.5459993e-03,-1.48000e+00,
-7.5449990e-03,-1.50000e+00,
-7.5439992e-03,-1.48000e+00,
-7.5429990e-03,-1.48000e+00,
-7.5419992e-03,-1.48000e+00,
-7.5409990e-03,-1.50000e+00,
-7.5399992e-03,-1.50000e+00,
-7.5389990e-03,-1.48000e+00,
-7.5379992e-03,-1.48000e+00,
-7.5369989e-03,-1.48000e+00,
-7.5359992e-03,-1.50000e+00,
-7.5349989e-03,-1.48000e+00,
-7.5339992e-03,-1.48000e+00,
-7.5329989e-03,-1.48000e+00,
-7.5319991e-03,-1.48000e+00,
-7.5309989e-03,-1.48000e+00,
-7.5299991e-03,-1.50000e+00,
-7.5289989e-03,-1.48000e+00,
-7.5279991e-03,-1.48000e+00,
-7.5269989e-03,-1.50000e+00,
-7.5259991e-03,-1.50000e+00,
-7.5249989e-03,-1.48000e+00,
-7.5239991e-03,-1.48000e+00,
-7.5229988e-03,-1.50000e+00,
-7.5219991e-03,-1.48000e+00,
-7.5209988e-03,-1.48000e+00,
-7.5199991e-03,-1.48000e+00,
-7.5189993e-03,-1.48000e+00,
-7.5179990e-03,-1.48000e+00,
-7.5169993e-03,-1.50000e+00,
-7.5159990e-03,-1.50000e+00,
-7.5149992e-03,-1.48000e+00,
-7.5139990e-03,-1.48000e+00,
-7.5129992e-03,-1.50000e+00,
-7.5119990e-03,-1.50000e+00,
-7.5109992e-03,-1.48000e+00,
-7.5099990e-03,-1.50000e+00,
-7.5089992e-03,-1.50000e+00,
-7.5079990e-03,-1.48000e+00,
-7.5069992e-03,-1.48000e+00,
-7.5059989e-03,-1.50000e+00,
-7.5049992e-03,-1.48000e+00,
-7.5039989e-03,-1.48000e+00,
-7.5029992e-03,-1.50000e+00,
-7.5019989e-03,-1.48000e+00,
-7.5009991e-03,-1.48000e+00,
-7.4999989e-03,-1.48000e+00,
-7.4989991e-03,-1.50000e+00,
-7.4979989e-03,-1.50000e+00,
-7.4969991e-03,-1.48000e+00,
-7.4959989e-03,-1.48000e+00,
-7.4949991e-03,-1.48000e+00,
-7.4939989e-03,-1.48000e+00,
-7.4929991e-03,-1.50000e+00,
-7.4919988e-03,-1.48000e+00,
-7.4909991e-03,-1.48000e+00,
-7.4899988e-03,-1.50000e+00,
-7.4889991e-03,-1.48000e+00,
-7.4879993e-03,-1.48000e+00,
-7.4869990e-03,-1.48000e+00,
-7.4859993e-03,-1.50000e+00,
-7.4849990e-03,-1.50000e+00,
-7.4839992e-03,-1.48000e+00,
-7.4829990e-03,-1.48000e+00,
-7.4819992e-03,-1.50000e+00,
